source_timestamp,destination_timestamp,x,y,z,roll,pitch,yaw
1418755480341345,1418755480278853,5.209727e-04,-2.855451e-04,2.987521e-04,-2.754793e-05,1.914264e-06,2.430650e-05
1418755480403837,1418755480341345,-1.338633e-04,-1.509316e-05,-6.368385e-05,-7.526887e-05,-2.070254e-05,-3.110825e-06
1418755480466328,1418755480403837,9.994406e-05,-1.296401e-04,-3.444644e-05,-3.963193e-05,1.017535e-05,2.480517e-05
1418755480528820,1418755480466328,2.482887e-04,-4.301556e-04,1.258640e-04,-3.226479e-05,-6.384655e-06,3.837418e-05
1418755480591311,1418755480528820,5.200848e-05,2.311183e-05,-9.137559e-05,9.092777e-06,-2.232471e-05,-5.899618e-06
1418755480653803,1418755480591311,-1.415767e-04,1.671013e-04,-3.280997e-05,1.760229e-05,2.061601e-05,-2.381121e-05
1418755480716294,1418755480653803,2.679007e-05,-1.514479e-05,-4.062424e-05,3.658101e-05,1.503178e-05,1.903539e-07
1418755480778784,1418755480716294,-3.217121e-04,-1.960296e-05,-1.612752e-04,-1.001083e-05,-1.552727e-05,-3.459007e-07
1418755480841277,1418755480778784,-1.162023e-04,1.131698e-04,-5.470627e-05,-2.548039e-05,-2.997669e-07,-7.665815e-06
1418755480903769,1418755480841277,-2.423661e-04,2.429265e-04,-8.507740e-05,6.213069e-06,9.647842e-07,-1.029642e-07
1418755480966260,1418755480903769,3.444579e-04,-2.069719e-04,3.009040e-05,7.414854e-06,-2.262212e-05,1.463589e-05
1418755481028751,1418755480966260,-3.162135e-04,5.581153e-05,-1.484118e-04,-8.874450e-05,-1.004142e-05,5.378551e-06
1418755481091241,1418755481028751,2.308811e-04,-1.112803e-04,2.130270e-04,8.574426e-05,4.766806e-05,2.126462e-05
1418755481153732,1418755481091241,-1.907675e-04,-3.829064e-05,-1.793200e-05,5.372266e-06,1.039167e-05,1.522101e-05
1418755481216226,1418755481153732,-2.917406e-05,-3.158400e-05,-9.311771e-05,3.533515e-05,-2.987963e-05,1.714947e-05
